familia,pagina_pdf,categoria,tier,cor,tratamento,notas,material_col1,grade_col1,preco_col1,status_col1,material_col2,grade_col2,preco_col2,status_col2,material_col3,grade_col3,preco_col3,status_col3,material_col4,grade_col4,preco_col4,status_col4,material_col5,grade_col5,preco_col5,status_col5,material_col6,grade_col6,preco_col6,status_col6
Hoyalux Daynamic,27,Lentes Progressivas,Advanced,SENSITY 2,Hi-Vision Hard,,1.67 (EYNOA),-13.00 a +7.50,6.199,,1.60 (EYAS 2.0),,,EM_BREVE,1.59 (POLI),,,EM_BREVE,1.53 (PNX),-8.00 a +6.00,3.939,,1.50,-8.00 a +6.00,3.589,,,,,
Hoyalux Daynamic,27,Lentes Progressivas,Advanced,POLARIZADO,Hi-Vision Sun Pro,Polarizado apenas cols 2 e 5,1.67 (EYNOA),,,,1.60 (EYAS 2.0),-11.50 a +6.50,4.899,,1.59 (POLI),,,,1.53 (PNX),,,,1.50,-8.00 a +3.00,4.089,,,,,
Hoyalux Daynamic,27,Lentes Progressivas,Advanced,COLORIDAS,Hi-Vision Sun Pro,,1.67 (EYNOA),-13.00 a +7.50,5.839,,1.60 (EYAS 2.0),-13.00 a +6.50,4.039,,1.59 (POLI),-10.00 a +6.00,,EM_BREVE,1.53 (PNX),-8.00 a +6.00,3.579,,1.50,-8.00 a +6.00,3.229,,,,,
ARGOS,28,Lentes Progressivas,Standard,INCOLOR,Hi-Vision Meiryo,,1.67 (EYNOA),-13.00 a +7.50,4.959,,1.60 (EYAS 2.0),-10.00 a +6.00,3.159,,1.59 (POLI),-10.00 a +6.00,2.699,,1.53 (PNX),-8.00 a +6.00,2.699,,1.50,-8.00 a +6.00,2.349,,,,,
ARGOS,28,Lentes Progressivas,Standard,INCOLOR,Hi-Vision LongLife BlueControl,,1.67 (EYNOA),-13.00 a +7.50,4.759,,1.60 (EYAS 2.0),-10.00 a +6.00,2.959,,1.59 (POLI),-10.00 a +6.00,,EM_BREVE,1.53 (PNX),-8.00 a +6.00,2.499,,1.50,-8.00 a +6.00,2.149,,,,,
ARGOS,28,Lentes Progressivas,Standard,INCOLOR,No-Risk BlueControl,,1.67 (EYNOA),-13.00 a +7.50,4.509,,1.60 (EYAS 2.0),-10.00 a +6.00,2.709,,1.59 (POLI),-10.00 a +6.00,2.249,,1.53 (PNX),-8.00 a +6.00,2.249,,1.50,-8.00 a +6.00,1.899,,,,,
ARGOS,28,Lentes Progressivas,Standard,INCOLOR,Hi-Vision Hard,,1.67 (EYNOA),-13.00 a +7.50,3.909,,1.60 (EYAS 2.0),-10.00 a +6.00,2.109,,1.59 (POLI),-10.00 a +6.00,1.649,,1.53 (PNX),-8.00 a +6.00,1.649,,1.50,-8.00 a +6.00,1.299,,,,,
ARGOS,28,Lentes Progressivas,Standard,SENSITY 2,Hi-Vision Meiryo,"Sensity 2 apenas cols 4,5",1.67 (EYNOA),,,,1.60 (EYAS 2.0),,,,1.59 (POLI),,,,1.53 (PNX),-8.00 a +6.00,4.099,,1.50,-8.00 a +6.00,3.749,,,,,
ARGOS,28,Lentes Progressivas,Standard,SENSITY 2,Hi-Vision LongLife BlueControl,,1.67 (EYNOA),,,,1.60 (EYAS 2.0),,,,1.59 (POLI),,,,1.53 (PNX),-8.00 a +6.00,3.899,,1.50,-8.00 a +6.00,3.549,,,,,
ARGOS,28,Lentes Progressivas,Standard,SENSITY 2,No-Risk BlueControl,,1.67 (EYNOA),,,,1.60 (EYAS 2.0),,,,1.59 (POLI),,,,1.53 (PNX),-8.00 a +6.00,3.649,,1.50,-8.00 a +6.00,3.299,,,,,
ARGOS,28,Lentes Progressivas,Standard,SENSITY 2,Hi-Vision Hard,,1.67 (EYNOA),,,,1.60 (EYAS 2.0),,,,1.59 (POLI),,,,1.53 (PNX),-8.00 a +6.00,3.049,,1.50,-8.00 a +6.00,2.699,,,,,
ARGOS,28,Lentes Progressivas,Standard,SENSITY ORIGINAL*,Hi-Vision LongLife BlueControl,*Enquanto durarem estoques,1.67 (EYNOA),,,,1.60 (EYAS 2.0),,,,1.59 (POLI),,,,1.53 (PNX),-8.00 a +6.00,3.499,,1.50,-8.00 a +6.00,3.149,,,,,
ARGOS,28,Lentes Progressivas,Standard,SENSITY ORIGINAL*,No-Risk BlueControl,,1.67 (EYNOA),,,,1.60 (EYAS 2.0),,,,1.59 (POLI),,,,1.53 (PNX),-8.00 a +6.00,3.249,,1.50,-8.00 a +6.00,2.899,,,,,
ARGOS,28,Lentes Progressivas,Standard,SENSITY ORIGINAL*,Hi-Vision Hard,,1.67 (EYNOA),,,,1.60 (EYAS 2.0),,,,1.59 (POLI),,,,1.53 (PNX),-8.00 a +6.00,2.649,,1.50,-8.00 a +6.00,2.299,,,,,
ARGOS,28,Lentes Progressivas,Standard,COLORIDAS,Hi-Vision Sun Pro,,1.67 (EYNOA),-13.00 a +7.50,4.799,,1.60 (EYAS 2.0),-10.00 a +6.00,2.999,,1.59 (POLI),-10.00 a +6.00,,,1.53 (PNX),-8.00 a +6.00,2.539,,1.50,-8.00 a +6.00,2.189,,,,,
Amplitude,29,Lentes Progressivas,Standard Entry,INCOLOR,No-Risk BlueControl,,1.59 (POLI),-10.00 a +6.00,1.249,,1.53 (PNX),-8.00 a +6.00,1.149,,1.50,-8.00 a +6.00,799,,,,,,,,,,,,,
Amplitude,29,Lentes Progressivas,Standard Entry,INCOLOR,Hi-Vision Hard,,1.59 (POLI),-10.00 a +6.00,1.049,,1.53 (PNX),-8.00 a +6.00,949,,1.50,-8.00 a +6.00,599,,,,,,,,,,,,,
Amplitude,29,Lentes Progressivas,Standard Entry,SENSITY 2,No-Risk BlueControl,,1.59 (POLI),,,,1.53 (PNX),-8.00 a +6.00,1.749,,1.50,-8.00 a +6.00,1.399,,,,,,,,,,,,,
Amplitude,29,Lentes Progressivas,Standard Entry,COLORIDAS,Hi-Vision Sun Pro,,1.59 (POLI),,,,1.53 (PNX),-8.00 a +6.00,1.439,,1.50,-8.00 a +6.00,1.089,,,,,,,,,,,,,
WorkStyle 3,32,Lentes Ocupacionais,Ocupacional Premium,INCOLOR,Hi-Vision LongLife BlueControl,,1.74,-15.00 a +9.00,7.499,,1.67,-13.00 a +7.00,5.999,,1.60 (EYAS 2.0),-11.00 a +7.00,4.199,,1.59,-8.00 a +5.00,3.739,,1.50,-8.00 a +5.00,3.389,,,,,
WorkStyle 3,32,Lentes Ocupacionais,Ocupacional Premium,INCOLOR,No-Risk BlueControl,1.74 nao disponivel com No-Risk BC,1.74,-15.00 a +9.00,,,1.67,-13.00 a +7.00,5.749,,1.60 (EYAS 2.0),-11.00 a +7.00,3.949,,1.59,-8.00 a +5.00,3.489,,1.50,-8.00 a +5.00,3.139,,,,,
WorkStyle 3,32,Lentes Ocupacionais,Ocupacional Premium,COLORIDAS,Hi-Vision Sun Pro,,1.74,-15.00 a +9.00,7.789,,1.67,-13.00 a +7.00,6.039,,1.60 (EYAS 2.0),-11.00 a +7.00,4.239,,1.59,-8.00 a +5.00,3.779,,1.50,-8.00 a +5.00,3.429,,,,,
WorkSmart Room,33,Lentes Ocupacionais,Ocupacional,INCOLOR,Hi-Vision LongLife BlueControl,,1.60 (EYAS 2.0),-11.00 a +7.00,2.779,,1.53 (PNX),-8.00 a +6.00,2.319,,1.50,-8.00 a +6.00,1.969,,,,,,,,,,,,,
WorkSmart Room,33,Lentes Ocupacionais,Ocupacional,INCOLOR,No-Risk BlueControl,,1.60 (EYAS 2.0),-11.00 a +7.00,2.529,,1.53 (PNX),-8.00 a +6.00,2.069,,1.50,-8.00 a +6.00,1.719,,,,,,,,,,,,,
WorkSmart Room,33,Lentes Ocupacionais,Ocupacional,COLORIDAS,Hi-Vision Sun Pro,,1.60 (EYAS 2.0),-11.00 a +7.00,2.819,,1.53 (PNX),-8.00 a +6.00,2.359,,1.50,-8.00 a +6.00,2.009,,,,,,,,,,,,,
SYNC III,35,Lentes Especiais,Especial - Fadiga Visual,INCOLOR,Hi-Vision LongLife BlueControl,col4 ausente,1.74 (EYVIA),-13.00 a +9.00,3.709,,1.67 (EYNOA),-13.00 a +7.50,3.359,,1.60 (EYAS 2.0),-10.00 a +6.00,2.559,,1.59 (POLI),-10.00 a +6.00,,,1.53 (PNX),-8.00 a +6.00,2.099,,1.50,-8.00 a +6.00,1.749,
SYNC III,35,Lentes Especiais,Especial - Fadiga Visual,INCOLOR,No-Risk BlueControl,"col1 ausente | cols 4,5 mesmo preco",1.74 (EYVIA),-13.00 a +9.00,,,1.67 (EYNOA),-13.00 a +7.50,3.109,,1.60 (EYAS 2.0),-10.00 a +6.00,2.309,,1.59 (POLI),-10.00 a +6.00,1.849,,1.53 (PNX),-8.00 a +6.00,1.849,,1.50,-8.00 a +6.00,1.499,
SYNC III,35,Lentes Especiais,Especial - Fadiga Visual,SENSITY 2,Hi-Vision LongLife BlueControl,"Sensity 2 apenas cols 2,5,6",1.74 (EYVIA),,,,1.67 (EYNOA),-13.00 a +7.50,4.359,,1.60 (EYAS 2.0),,,,1.59 (POLI),,,,1.53 (PNX),-8.00 a +6.00,3.099,,1.50,-8.00 a +6.00,2.749,
SYNC III,35,Lentes Especiais,Especial - Fadiga Visual,SENSITY 2,No-Risk BlueControl,,1.74 (EYVIA),,,,1.67 (EYNOA),-13.00 a +7.50,4.109,,1.60 (EYAS 2.0),,,,1.59 (POLI),,,,1.53 (PNX),-8.00 a +6.00,2.849,,1.50,-8.00 a +6.00,2.499,
SYNC III,35,Lentes Especiais,Especial - Fadiga Visual,POLARIZADO,Hi-Vision Sun Pro,Polarizado APENAS col6,1.74 (EYVIA),,,,1.67 (EYNOA),,,,1.60 (EYAS 2.0),,,,1.59 (POLI),,,,1.53 (PNX),,,,1.50,-8.00 a +3.00,2.649,
SYNC III,35,Lentes Especiais,Especial - Fadiga Visual,COLORIDAS,Hi-Vision Sun Pro,col4 ausente,1.74 (EYVIA),-13.00 a +9.00,3.999,,1.67 (EYNOA),-13.00 a +7.50,3.399,,1.60 (EYAS 2.0),-10.00 a +6.00,2.599,,1.59 (POLI),-10.00 a +6.00,,,1.53 (PNX),-8.00 a +6.00,2.139,,1.50,-8.00 a +6.00,1.789,
EnRoute Progressiva,36,Lentes Especiais,Progressiva Especial para Direcao,INCOLOR,Antirreflexo EnRoute,,1.67,-12.00 a +6.00,6.699,,1.60 (EYAS 2.0),-10.00 a +6.00,4.899,,,,,,,,,,,,,,,,,
EnRoute Visao Simples,37,Lentes Especiais,Visao Simples Especial para Direcao,INCOLOR,Antirreflexo EnRoute,,1.67,-15.00 a +6.00,3.090,,1.60 (EYAS 2.0),-13.00 a +6.00,2.290,,,,,,,,,,,,,,,,,
Hoyalux Sportive Progressiva,38,Lentes Progressivas com Curva Especial,Progressiva Curva Especial,INCOLOR,Hi-Vision LongLife BlueControl (Curva 6),,1.67 (EYNOA),Curva6:-6/+4,6.869,,1.60 (EYAS 2.0),Curva6:-6/+4,5.069,,1.53 (PNX),Curva6:-6/+4,4.609,,1.50,Curva6:-6/+4,4.259,,,,,,,,,
Hoyalux Sportive Progressiva,38,Lentes Progressivas com Curva Especial,Progressiva Curva Especial,INCOLOR,Hi-Vision LongLife BlueControl (Curva 8),,1.67 (EYNOA),Curva8:-5/+4,6.869,,1.60 (EYAS 2.0),Curva8:-5/+4,5.069,,1.53 (PNX),Curva8:-5/+4,4.609,,1.50,Curva8:-5/+4,4.259,,,,,,,,,
Hoyalux Sportive Progressiva,38,Lentes Progressivas com Curva Especial,Progressiva Curva Especial,INCOLOR,No-Risk BlueControl (Curva 6),,1.67 (EYNOA),Curva6:-6/+4,6.619,,1.60 (EYAS 2.0),Curva6:-6/+4,4.819,,1.53 (PNX),Curva6:-6/+4,4.359,,1.50,Curva6:-6/+4,4.009,,,,,,,,,
Hoyalux Sportive Progressiva,38,Lentes Progressivas com Curva Especial,Progressiva Curva Especial,INCOLOR,No-Risk BlueControl (Curva 8),,1.67 (EYNOA),Curva8:-5/+4,6.619,,1.60 (EYAS 2.0),Curva8:-5/+4,4.819,,1.53 (PNX),Curva8:-5/+4,4.359,,1.50,Curva8:-5/+4,4.009,,,,,,,,,
Hoyalux Sportive Progressiva,38,Lentes Progressivas com Curva Especial,Progressiva Curva Especial,INCOLOR,Hi-Vision Hard (Curva 6),,1.67 (EYNOA),Curva6:-6/+4,6.209,,1.60 (EYAS 2.0),Curva6:-6/+4,4.409,,1.53 (PNX),Curva6:-6/+4,3.949,,1.50,Curva6:-6/+4,3.599,,,,,,,,,
Hoyalux Sportive Progressiva,38,Lentes Progressivas com Curva Especial,Progressiva Curva Especial,INCOLOR,Hi-Vision Hard (Curva 8),,1.67 (EYNOA),Curva8:-5/+4,6.209,,1.60 (EYAS 2.0),Curva8:-5/+4,4.409,,1.53 (PNX),Curva8:-5/+4,3.949,,1.50,Curva8:-5/+4,3.599,,,,,,,,,
Hoyalux Sportive Progressiva,38,Lentes Progressivas com Curva Especial,Progressiva Curva Especial,SENSITY 2,Hi-Vision LongLife BlueControl (Curva 6),"Sensity 2 apenas cols 3,4",1.67 (EYNOA),,,,1.60 (EYAS 2.0),,,,1.53 (PNX),Curva6:-6/+4,6.009,,1.50,Curva6:-6/+4,5.659,,,,,,,,,
Hoyalux Sportive Progressiva,38,Lentes Progressivas com Curva Especial,Progressiva Curva Especial,SENSITY 2,Hi-Vision LongLife BlueControl (Curva 8),"Sensity 2 apenas cols 3,4",1.67 (EYNOA),,,,1.60 (EYAS 2.0),,,,1.53 (PNX),Curva8:-5/+4,6.009,,1.50,Curva8:-5/+4,5.659,,,,,,,,,
Hoyalux Sportive Progressiva,38,Lentes Progressivas com Curva Especial,Progressiva Curva Especial,SENSITY 2,No-Risk BlueControl (Curva 6),,1.67 (EYNOA),,,,1.60 (EYAS 2.0),,,,1.53 (PNX),Curva6:-6/+4,5.759,,1.50,Curva6:-6/+4,5.409,,,,,,,,,
Hoyalux Sportive Progressiva,38,Lentes Progressivas com Curva Especial,Progressiva Curva Especial,SENSITY 2,No-Risk BlueControl (Curva 8),,1.67 (EYNOA),,,,1.60 (EYAS 2.0),,,,1.53 (PNX),Curva8:-5/+4,5.759,,1.50,Curva8:-5/+4,5.409,,,,,,,,,
Hoyalux Sportive Progressiva,38,Lentes Progressivas com Curva Especial,Progressiva Curva Especial,SENSITY 2,Hi-Vision Hard (Curva 6),,1.67 (EYNOA),,,,1.60 (EYAS 2.0),,,,1.53 (PNX),Curva6:-6/+4,5.349,,1.50,Curva6:-6/+4,4.999,,,,,,,,,
Hoyalux Sportive Progressiva,38,Lentes Progressivas com Curva Especial,Progressiva Curva Especial,SENSITY 2,Hi-Vision Hard (Curva 8),,1.67 (EYNOA),,,,1.60 (EYAS 2.0),,,,1.53 (PNX),Curva8:-5/+4,5.349,,1.50,Curva8:-5/+4,4.999,,,,,,,,,
Hoyalux Sportive Progressiva,38,Lentes Progressivas com Curva Especial,Progressiva Curva Especial,POLARIZADO,Hi-Vision Sun Pro (Curva 6),Polarizado cols 2 e 4,1.67 (EYNOA),,,,1.60 (EYAS 2.0),Curva6:-6/+4,5.969,,1.53 (PNX),,,,1.50,Curva6:-6/+4,5.159,,,,,,,,,
Hoyalux Sportive Progressiva,38,Lentes Progressivas com Curva Especial,Progressiva Curva Especial,POLARIZADO,Hi-Vision Sun Pro (Curva 8),Polarizado cols 2 e 4,1.67 (EYNOA),,,,1.60 (EYAS 2.0),Curva8:-5/+4,5.969,,1.53 (PNX),,,,1.50,Curva8:-5/+4,5.159,,,,,,,,,
Hoyalux Sportive Progressiva,38,Lentes Progressivas com Curva Especial,Progressiva Curva Especial,COLORIDAS,Hi-Vision Sun Pro (Curva 6),,1.67 (EYNOA),Curva6:-6/+4,6.909,,1.60 (EYAS 2.0),Curva6:-6/+4,5.109,,1.53 (PNX),Curva6:-6/+4,4.649,,1.50,Curva6:-6/+4,4.299,,,,,,,,,
Hoyalux Sportive Progressiva,38,Lentes Progressivas com Curva Especial,Progressiva Curva Especial,COLORIDAS,Hi-Vision Sun Pro (Curva 8),,1.67 (EYNOA),Curva8:-5/+4,6.909,,1.60 (EYAS 2.0),Curva8:-5/+4,5.109,,1.53 (PNX),Curva8:-5/+4,4.649,,1.50,Curva8:-5/+4,4.299,,,,,,,,,
Sportive Visao Simples,39,Lentes de Visao Simples com Curva Especial,VS Curva Especial,INCOLOR,Hi-Vision LongLife BlueControl (Curva 6),,1.67 (EYNOA),Curva6:-6/+4,3.689,,1.60 (EYAS 2.0),Curva6:-6/+4,2.899,,1.53 (PNX),Curva6:-6/+4,2.439,,1.50,Curva6:-6/+4,2.089,,,,,,,,,
Sportive Visao Simples,39,Lentes de Visao Simples com Curva Especial,VS Curva Especial,INCOLOR,Hi-Vision LongLife BlueControl (Curva 8),,1.67 (EYNOA),Curva8:-5/+4,3.689,,1.60 (EYAS 2.0),Curva8:-5/+4,2.899,,1.53 (PNX),Curva8:-5/+4,2.439,,1.50,Curva8:-5/+4,2.089,,,,,,,,,
Sportive Visao Simples,39,Lentes de Visao Simples com Curva Especial,VS Curva Especial,INCOLOR,No-Risk BlueControl (Curva 6),,1.67 (EYNOA),Curva6:-6/+4,3.439,,1.60 (EYAS 2.0),Curva6:-6/+4,2.649,,1.53 (PNX),Curva6:-6/+4,2.189,,1.50,Curva6:-6/+4,1.839,,,,,,,,,
Sportive Visao Simples,39,Lentes de Visao Simples com Curva Especial,VS Curva Especial,INCOLOR,No-Risk BlueControl (Curva 8),,1.67 (EYNOA),Curva8:-5/+4,3.439,,1.60 (EYAS 2.0),Curva8:-5/+4,2.649,,1.53 (PNX),Curva8:-5/+4,2.189,,1.50,Curva8:-5/+4,1.839,,,,,,,,,
Sportive Visao Simples,39,Lentes de Visao Simples com Curva Especial,VS Curva Especial,INCOLOR,Hi-Vision Hard (Curva 6),,1.67 (EYNOA),Curva6:-6/+4,2.899,,1.60 (EYAS 2.0),Curva6:-6/+4,2.109,,1.53 (PNX),Curva6:-6/+4,1.649,,1.50,Curva6:-6/+4,1.299,,,,,,,,,
Sportive Visao Simples,39,Lentes de Visao Simples com Curva Especial,VS Curva Especial,INCOLOR,Hi-Vision Hard (Curva 8),,1.67 (EYNOA),Curva8:-5/+4,2.899,,1.60 (EYAS 2.0),Curva8:-5/+4,2.109,,1.53 (PNX),Curva8:-5/+4,1.649,,1.50,Curva8:-5/+4,1.299,,,,,,,,,
Sportive Visao Simples,39,Lentes de Visao Simples com Curva Especial,VS Curva Especial,SENSITY 2,Hi-Vision LongLife BlueControl (Curva 6),"Sensity 2 apenas cols 3,4",1.67 (EYNOA),,,,1.60 (EYAS 2.0),,,,1.53 (PNX),Curva6:-6/+4,3.439,,1.50,Curva6:-6/+4,3.089,,,,,,,,,
Sportive Visao Simples,39,Lentes de Visao Simples com Curva Especial,VS Curva Especial,SENSITY 2,Hi-Vision LongLife BlueControl (Curva 8),"Sensity 2 apenas cols 3,4",1.67 (EYNOA),,,,1.60 (EYAS 2.0),,,,1.53 (PNX),Curva8:-5/+4,3.439,,1.50,Curva8:-5/+4,3.089,,,,,,,,,
Sportive Visao Simples,39,Lentes de Visao Simples com Curva Especial,VS Curva Especial,SENSITY 2,No-Risk BlueControl (Curva 6),,1.67 (EYNOA),,,,1.60 (EYAS 2.0),,,,1.53 (PNX),Curva6:-6/+4,3.189,,1.50,Curva6:-6/+4,2.839,,,,,,,,,
Sportive Visao Simples,39,Lentes de Visao Simples com Curva Especial,VS Curva Especial,SENSITY 2,No-Risk BlueControl (Curva 8),,1.67 (EYNOA),,,,1.60 (EYAS 2.0),,,,1.53 (PNX),Curva8:-5/+4,3.189,,1.50,Curva8:-5/+4,2.839,,,,,,,,,
Sportive Visao Simples,39,Lentes de Visao Simples com Curva Especial,VS Curva Especial,SENSITY 2,Hi-Vision Hard (Curva 6),,1.67 (EYNOA),,,,1.60 (EYAS 2.0),,,,1.53 (PNX),Curva6:-6/+4,2.649,,1.50,Curva6:-6/+4,2.299,,,,,,,,,
Sportive Visao Simples,39,Lentes de Visao Simples com Curva Especial,VS Curva Especial,SENSITY 2,Hi-Vision Hard (Curva 8),,1.67 (EYNOA),,,,1.60 (EYAS 2.0),,,,1.53 (PNX),Curva8:-5/+4,2.649,,1.50,Curva8:-5/+4,2.299,,,,,,,,,
Sportive Visao Simples,39,Lentes de Visao Simples com Curva Especial,VS Curva Especial,POLARIZADO,Hi-Vision Sun Pro (Curva 6),Polarizado cols 2 e 4,1.67 (EYNOA),,,,1.60 (EYAS 2.0),Curva6:-4/+4,3.799,,1.53 (PNX),,,,1.50,Curva6:-3.5/+4,2.989,,,,,,,,,
Sportive Visao Simples,39,Lentes de Visao Simples com Curva Especial,VS Curva Especial,POLARIZADO,Hi-Vision Sun Pro (Curva 8),Polarizado cols 2 e 4,1.67 (EYNOA),,,,1.60 (EYAS 2.0),Curva8:-4/+4,3.799,,1.53 (PNX),,,,1.50,Curva8:-3/+4,2.989,,,,,,,,,
Sportive Visao Simples,39,Lentes de Visao Simples com Curva Especial,VS Curva Especial,COLORIDAS,Hi-Vision Sun Pro (Curva 6),,1.67 (EYNOA),Curva6:-6/+4,3.729,,1.60 (EYAS 2.0),Curva6:-6/+4,2.939,,1.53 (PNX),Curva6:-6/+4,2.479,,1.50,Curva6:-6/+4,2.129,,,,,,,,,
Sportive Visao Simples,39,Lentes de Visao Simples com Curva Especial,VS Curva Especial,COLORIDAS,Hi-Vision Sun Pro (Curva 8),,1.67 (EYNOA),Curva8:-5/+4,3.729,,1.60 (EYAS 2.0),Curva8:-5/+4,2.939,,1.53 (PNX),Curva8:-5/+4,2.479,,1.50,Curva8:-5/+4,2.129,,,,,,,,,
NULUX Prontas Asfericas EYAS 2.0,16,Lentes de Visao Simples Prontas,Pronta Asferica,INCOLOR,Hi-Vision Meiryo,1.53 sem Meiryo,1.74 (EYVIA),-12.00 a -2.00**,2.199,,1.67 (EYNOA),-10.00 a +6.00*,1.599,,1.60 (EYAS 2.0),-6.00 a +6.00,1.379,,1.53 (PNX),-6.00 a +6.00,,,,,,,,,,
NULUX Prontas Asfericas EYAS 2.0,16,Lentes de Visao Simples Prontas,Pronta Asferica,INCOLOR,Hi-Vision LongLife BlueControl,LL BC apenas 1.67 - outros materiais ausentes no PDF,1.74 (EYVIA),-12.00 a -2.00**,,,1.67 (EYNOA),-10.00 a +6.00*,1.499,,1.60 (EYAS 2.0),-6.00 a +6.00,,,1.53 (PNX),-6.00 a +6.00,,,,,,,,,,
NULUX Prontas Asfericas EYAS 2.0,16,Lentes de Visao Simples Prontas,Pronta Asferica,INCOLOR,Hi-Vision LongLife UVControl,,1.74 (EYVIA),-12.00 a -2.00**,,,1.67 (EYNOA),-10.00 a +6.00*,1.499,,1.60 (EYAS 2.0),-6.00 a +6.00,1.199,,1.53 (PNX),-6.00 a +6.00,,,,,,,,,,
NULUX Prontas Asfericas EYAS 2.0,16,Lentes de Visao Simples Prontas,Pronta Asferica,INCOLOR,Hi-Vision LongLife,LL standard apenas 1.74,1.74 (EYVIA),-12.00 a -2.00**,1.979,,1.67 (EYNOA),-10.00 a +6.00*,,,1.60 (EYAS 2.0),-6.00 a +6.00,,,1.53 (PNX),-6.00 a +6.00,,,,,,,,,,
NULUX Prontas Asfericas EYAS 2.0,16,Lentes de Visao Simples Prontas,Pronta Asferica,INCOLOR,CleanExtra,CleanExtra apenas 1.53,1.74 (EYVIA),-12.00 a -2.00**,,,1.67 (EYNOA),-10.00 a +6.00*,,,1.60 (EYAS 2.0),-6.00 a +6.00,,,1.53 (PNX),-6.00 a +6.00,679,,,,,,,,,
NULUX Prontas Asfericas EYAS 2.0,16,Lentes de Visao Simples Prontas,Pronta Asferica,SENSITY 2,Hi-Vision LongLife UVControl,Sensity 2 apenas 1.67 nesta tabela,1.74 (EYVIA),,,,1.67 (EYNOA),-8.00 a +6.00#,2.079,,1.60 (EYAS 2.0),,,,1.53 (PNX),,,,,,,,,,,
